Pr Mf Ch Ca Na K
0.3098 0.2237 0.4410 0.0103 0.0025 0.0127
0.2679 0.3687 0.3377 0.0084 0.0030 0.0144
0.2583 0.3392 0.3747 0.0074 0.0047 0.0157
0.2450 0.2614 0.4617 0.0090 0.0090 0.0140
0.3715 0.1477 0.4514 0.0098 0.0032 0.0163
0.2451 0.2987 0.4263 0.0104 0.0032 0.0163
0.3797 0.2268 0.3660 0.0064 0.0080 0.0131
0.2286 0.2723 0.4709 0.0097 0.0026 0.0159
0.2381 0.2182 0.5199 0.0100 0.0016 0.0122
0.3731 0.1937 0.4051 0.0109 0.0020 0.0153
0.1988 0.4113 0.3632 0.0056 0.0080 0.0131
0.3178 0.1908 0.4678 0.0058 0.0067 0.0111
0.2446 0.2976 0.4272 0.0114 0.0018 0.0175
0.2680 0.2357 0.4731 0.0041 0.0085 0.0106
0.3448 0.2428 0.3840 0.0098 0.0040 0.0148
0.2107 0.4630 0.2955 0.0154 0.0016 0.0138
0.2767 0.1796 0.5177 0.0040 0.0089 0.0130
0.3286 0.2883 0.3584 0.0065 0.0038 0.0143
0.2168 0.3149 0.4421 0.0083 0.0043 0.0136
0.2325 0.2858 0.4544 0.0049 0.0066 0.0157
0.3140 0.1600 0.4967 0.0092 0.0053 0.0149
0.3007 0.2313 0.4451 0.0084 0.0016 0.0131
0.1966 0.3840 0.3933 0.0101 0.0031 0.0128
0.1207 0.5170 0.3328 0.0075 0.0042 0.0179
0.1728 0.4103 0.3892 0.0112 0.0015 0.0150
0.1655 0.5171 0.2841 0.0094 0.0066 0.0173
0.3257 0.1735 0.4761 0.0059 0.0044 0.0142
0.2177 0.3711 0.3788 0.0147 0.0021 0.0155
0.2628 0.3019 0.4022 0.0131 0.0035 0.0164
0.3754 0.1718 0.4256 0.0112 0.0009 0.0150
0.2582 0.3057 0.4107 0.0105 0.0021 0.0128
0.2381 0.3954 0.3356 0.0112 0.0030 0.0168
0.2405 0.3291 0.3985 0.0093 0.0047 0.0179
0.2877 0.2461 0.4342 0.0108 0.0063 0.0149
0.4395 0.1251 0.4049 0.0109 0.0028 0.0169
0.2040 0.3285 0.4400 0.0103 0.0022 0.0149
0.3427 0.2165 0.4115 0.0070 0.0077 0.0146
0.1469 0.4245 0.4000 0.0115 0.0015 0.0156
0.1941 0.2976 0.4779 0.0135 0.0018 0.0150
0.4360 0.1699 0.3690 0.0107 0.0012 0.0132
0.2302 0.4212 0.3186 0.0069 0.0085 0.0145
0.3338 0.2230 0.4174 0.0070 0.0063 0.0123
0.2351 0.3279 0.4102 0.0101 0.0013 0.0154
0.2475 0.2789 0.4435 0.0059 0.0102 0.0140
0.2942 0.3392 0.3415 0.0086 0.0034 0.0132
0.2112 0.4724 0.2886 0.0152 0.0009 0.0117
0.2809 0.1890 0.4981 0.0055 0.0098 0.0166
0.3244 0.3192 0.3291 0.0070 0.0051 0.0153
0.2164 0.2855 0.4692 0.0097 0.0047 0.0147
0.2310 0.3091 0.4341 0.0048 0.0064 0.0145
0.2411 0.1875 0.5468 0.0082 0.0039 0.0125
0.3304 0.2364 0.4056 0.0103 0.0017 0.0156
0.2461 0.3472 0.3786 0.0115 0.0030 0.0137
0.1321 0.5356 0.3041 0.0077 0.0035 0.0170
0.1276 0.4896 0.3516 0.0136 0.0012 0.0164
0.1447 0.6130 0.2158 0.0080 0.0047 0.0139
0.3044 0.1814 0.4878 0.0068 0.0041 0.0155
0.2352 0.4027 0.3373 0.0114 0.0015 0.0119
0.2248 0.3225 0.4217 0.0117 0.0037 0.0157
0.3039 0.2252 0.4477 0.0106 0.0006 0.0119
