Pr Mf Ch Ca Na K
0.3270 0.1956 0.4500 0.0068 0.0083 0.0123
0.3758 0.1720 0.4267 0.0071 0.0057 0.0125
0.2473 0.3304 0.3924 0.0086 0.0059 0.0156
0.2624 0.2719 0.4344 0.0090 0.0054 0.0169
0.2811 0.2700 0.4226 0.0042 0.0108 0.0112
0.3456 0.2318 0.4003 0.0039 0.0069 0.0115
0.4216 0.1417 0.4138 0.0080 0.0024 0.0125
0.2465 0.3286 0.3980 0.0087 0.0046 0.0135
0.2468 0.3266 0.3945 0.0092 0.0052 0.0178
0.3486 0.1670 0.4575 0.0118 0.0015 0.0135
0.3217 0.2407 0.4055 0.0069 0.0126 0.0128
0.2165 0.3268 0.4260 0.0111 0.0035 0.0161
0.3296 0.2173 0.4197 0.0092 0.0110 0.0133
0.2324 0.3370 0.4026 0.0086 0.0022 0.0172
0.2252 0.3160 0.4245 0.0099 0.0072 0.0171
0.1756 0.4177 0.3797 0.0091 0.0037 0.0143
0.3169 0.2167 0.4373 0.0051 0.0116 0.0125
0.2226 0.3809 0.3668 0.0064 0.0088 0.0145
0.2820 0.2373 0.4514 0.0085 0.0040 0.0168
0.2180 0.3414 0.4138 0.0066 0.0042 0.0161
0.3460 0.2307 0.3926 0.0106 0.0046 0.0155
0.3065 0.2337 0.4336 0.0125 0.0014 0.0122
0.2522 0.2965 0.4227 0.0141 0.0016 0.0130
0.3312 0.1541 0.4896 0.0073 0.0048 0.0130
0.2800 0.2365 0.4562 0.0115 0.0015 0.0144
0.2704 0.2809 0.4256 0.0119 0.0009 0.0104
0.5041 0.0875 0.3808 0.0104 0.0027 0.0146
0.3187 0.2490 0.4041 0.0111 0.0037 0.0134
0.2396 0.3502 0.3793 0.0106 0.0033 0.0170
0.2424 0.2725 0.4592 0.0117 0.0015 0.0127
