Pr Mf Ch Ca Na K
0.3575 0.1780 0.4357 0.0090 0.0085 0.0113
0.5056 0.1038 0.3607 0.0107 0.0063 0.0129
0.3635 0.2455 0.3616 0.0097 0.0060 0.0137
0.3510 0.2040 0.4182 0.0116 0.0027 0.0125
0.2246 0.3028 0.4419 0.0071 0.0116 0.0121
0.3966 0.1662 0.4115 0.0066 0.0085 0.0107
0.5544 0.1024 0.3145 0.0146 0.0023 0.0117
0.3587 0.2107 0.3980 0.0147 0.0048 0.0130
0.2509 0.2850 0.4385 0.0108 0.0027 0.0122
0.4076 0.1332 0.4351 0.0137 0.0012 0.0094
0.2939 0.2268 0.4510 0.0099 0.0083 0.0101
0.1521 0.3636 0.4580 0.0127 0.0025 0.0111
0.4641 0.1584 0.3491 0.0085 0.0101 0.0098
0.2870 0.2738 0.4091 0.0126 0.0019 0.0157
0.2693 0.2995 0.4037 0.0135 0.0035 0.0104
0.1894 0.4421 0.3416 0.0110 0.0041 0.0117
0.2816 0.2176 0.4722 0.0071 0.0098 0.0117
0.2154 0.4184 0.3414 0.0092 0.0050 0.0105
0.2896 0.2187 0.4638 0.0097 0.0028 0.0154
0.3070 0.2707 0.3921 0.0112 0.0030 0.0160
0.3749 0.2146 0.3794 0.0145 0.0039 0.0128
0.3195 0.2214 0.4297 0.0186 0.0011 0.0097
0.2654 0.2255 0.4766 0.0206 0.0011 0.0108
0.3843 0.1460 0.4478 0.0088 0.0034 0.0096

